key_code,room_name,remarks
1C001,INCUBATOR,FD-1
1C002,INCUBATOR,FD-2
1D003,INCUBATOR,MD-1
1D004,INCUBATOR,MD-2
1D005,INCUBATOR,BD
1C006,BILIK KAWALAN,FD
1B007,BILIK KAWALAN,BD
1A008,BILIK MSB,MD
1D009,LOBBY,FD-L-1
1D010,LOBBY,FD-L-2
1E011,LOBBY,FD-R-1
1E012,LOBBY,FD-R-2
1E013,STOR HEP,FD
1E014,STOR HEP,BD
1D015,BILIK SDF,MD
1D016,BILIK HCRDB,MD
1D017,RUANG SERBAGUNA,MD
1D018,PINTU RUANG SERBAGUNA,MD
1F019,STUDENT CENTRE,FD-L-1
1F020,STUDENT CENTRE,FD-L-2
1G021,STUDENT CENTRE,FD-R-1
1G022,STUDENT CENTRE,FD-R-2
1G023,STUDENT CENTRE,MD-L-1
1G024,STUDENT CENTRE,MD-L-2
1G025,STUDENT CENTRE,BD
1F026,STUDENT CENTRE,MD-R-1
1F027,STUDENT CENTRE,MD-R-2
1H028,SIMULATION AREA,MD
1H029,SIMULATION AREA,MD
1H030,PREP AREA,MD
1I031,PSH,FD-1
1I032,PSH,FD-2
1I033,PSH,BD
1J034,CAFE,FD-1
1J035,CAFE,FD-2
1J036,CAFE,BD
1J037,KOPERASI,FD
1J038,KOPERASI,BD
2A039,PENGARAH,FD-1
2A040,PENGARAH,FD-2
2A041,PENGARAH,BD
2A042,PENO. PEG. TADBIR,MD
2A043,KEWANGAN,MD
2A044,BILIK CETAK,MD
2A045,BILIK SSB,MD
2A046,BILIK UTILITI,MD
2B047,RUANG MENUNGGU,MD-1
2B048,RUANG MENUNGGU,MD-2
2B049,ADMIN,FD
2D050,ADMIN,MD
2B051,ADMIN,BD
2C052,TIM. PEG. 2,FD
2C053,TIM. PEG. 3,BD
2C054,TIM. PEG. 1,MD
2D055,BILIK FAIL,MD
2D056,PINTU LALUAN ADMIN,MD
2D057,BILIK MESYUARAT,FD-L-1
2D058,BILIK MESYUARAT,FD-L-2
2E059,BILIK MESYUARAT,FD-R-1
2E060,BILIK MESYUARAT,FD-R-2
2E061,BILIK MESYUARAT,BD-R
2D062,BILIK MESYUARAT,BD-L
2D063,BILIK UTILITI 1,L
2E064,BILIK UTILITI 2,R
2D065,BILIK TCR,MD
2F066,DEWAN KULIAH,FD-L-1
2F067,DEWAN KULIAH,FD-L-2
2G068,DEWAN KULIAH,FD-R-1
2G069,DEWAN KULIAH,FD-R-2
2G070,DEWAN KULIAH,BD-R
2F071,DEWAN KULIAH,BD-L
2F072,B. PERSEDIAAN 2 (STOR),L
2G073,B. PERSEDIAAN 2 (STOR),R
2H074,SURAU,FD
2H075,SURAU,BD
2H076,SURAU,GIRL
2H077,SURAU,BOY
2H078,PINTU LALUAN HEP,MD
2I079,BILIK FAIL EXAM,MD
2I080,BILIK PEG. EXAM,MD
2I081,BILIK PEG. PENGAMBILAN,MD
2I082,BILIK PEG. LI,MD
2J083,RUANG HEP,FD
2J084,RUANG HEP,
2J085,RUANG HEP,MD
2J086,RUANG HEP,BD
2J087,BILIK FAIL HEP,MD
2J088,BILIK PEG. PP,MD
3A089,BILIK PENSYARAH,FD-L-1
3A090,BILIK PENSYARAH,FD-L-2
3B091,BILIK PENSYARAH,FD -R
3B092,BILIK PENSYARAH,BD-R
3A093,BILIK PENSYARAH,BD-L
3A094,BILIK DB,MD
3A095,BILIK UTILITI,MD
3B096,P.LALUAN PENSYARAH,MD
3C097,MAKMAL MULTIMEDIA,FD
3C098,MAKMAL MULTIMEDIA,BD
3C099,P.LALUAN M.MMEDIA,MD
3D100,BILIK ICT,MD
3D101,BILIK MAIN TCR,MD
3D102,BILIK TCR,MD
3E103,M.PENGATUCARAAN 1,FD
3E104,M.PENGATUCARAAN 2,BD
3E105,B.PERSEDIAAN 3,WR
3F106,M.K.LOGISTIK 1,FD
3F107,M.K.LOGISTIK 1,BD
3F108,B.PERSEDIAAN 4 (PSH),L
3G109,B.PERSEDIAAN 4 (PSH),R
3G110,M.K.LOGISTIK 2,FD
3G111,M.K.LOGISTIK 2,BD
3H112,M.PENGATUCARAAN 2,FD
3H113,M.PENGATUCARAAN 2,BD
3H114,P.LALUAN M.P2,MD
3I115,MAKMAL BAHASA,FD
3I116,MAKMAL BAHASA,BD
3J117,LIBRARY,FD-1
3J118,LIBRARY,FD-2
3J119,LIBRARY,BD
4A120,MAK.PENDAWAIAN RANGKAIAN,FD-1
